run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
10,20000,128.00,agent_6,140.00,140.00,140.00,140.00,140.00,128.00,128.00,140.00,140.00,140.00
10,40000,128.00,agent_6,140.00,140.00,140.00,140.00,140.00,128.00,128.00,140.00,140.00,140.00
10,60000,128.00,agent_6,140.00,140.00,140.00,140.00,140.00,128.00,128.00,140.00,140.00,140.00
10,80000,128.00,agent_6,140.00,140.00,128.00,140.00,140.00,128.00,128.00,140.00,140.00,140.00
10,100000,128.00,agent_6,140.00,140.00,128.00,140.00,140.00,128.00,128.00,140.00,140.00,140.00
10,120000,128.00,agent_6,140.00,140.00,128.00,140.00,128.00,128.00,128.00,140.00,140.00,140.00
10,140000,128.00,agent_6,128.00,140.00,128.00,140.00,128.00,128.00,128.00,140.00,140.00,140.00
10,160000,128.00,agent_6,128.00,140.00,128.00,140.00,128.00,128.00,128.00,140.00,140.00,140.00
10,180000,128.00,agent_6,128.00,128.00,128.00,140.00,128.00,128.00,128.00,140.00,140.00,140.00
10,200000,128.00,agent_6,128.00,128.00,128.00,140.00,128.00,128.00,128.00,140.00,128.00,140.00
10,220000,128.00,agent_6,128.00,128.00,128.00,140.00,128.00,128.00,128.00,128.00,128.00,140.00
10,240000,116.00,agent_3,128.00,128.00,128.00,116.00,128.00,128.00,128.00,128.00,128.00,140.00
10,260000,116.00,agent_3,128.00,128.00,128.00,116.00,128.00,128.00,116.00,128.00,128.00,140.00
10,280000,116.00,agent_3,128.00,128.00,128.00,116.00,128.00,128.00,116.00,128.00,128.00,116.00
10,300000,116.00,agent_3,128.00,128.00,128.00,116.00,128.00,116.00,116.00,128.00,128.00,116.00
