run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
5,20000,120.00,agent_3,141.00,141.00,141.00,120.00,141.00,141.00,141.00,141.00,141.00,141.00
5,40000,120.00,agent_3,141.00,141.00,141.00,120.00,141.00,141.00,141.00,120.00,141.00,141.00
5,60000,119.00,agent_1,141.00,119.00,141.00,120.00,141.00,141.00,141.00,120.00,141.00,141.00
5,80000,119.00,agent_1,141.00,119.00,141.00,120.00,120.00,141.00,141.00,120.00,141.00,141.00
5,100000,118.00,agent_2,141.00,119.00,118.00,120.00,120.00,141.00,141.00,120.00,141.00,141.00
5,120000,118.00,agent_2,141.00,119.00,118.00,120.00,120.00,141.00,141.00,120.00,118.00,141.00
5,140000,118.00,agent_2,141.00,119.00,118.00,120.00,120.00,118.00,141.00,120.00,118.00,141.00
5,160000,118.00,agent_2,121.00,119.00,118.00,120.00,120.00,118.00,141.00,120.00,118.00,141.00
5,180000,118.00,agent_2,121.00,119.00,118.00,120.00,120.00,118.00,141.00,120.00,118.00,119.00
5,200000,118.00,agent_2,121.00,119.00,118.00,120.00,120.00,118.00,118.00,120.00,118.00,119.00
