run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
5,20000,116.00,agent_4,140.00,140.00,140.00,140.00,116.00,140.00,140.00,140.00,140.00,140.00
5,40000,116.00,agent_4,140.00,140.00,140.00,140.00,116.00,140.00,140.00,116.00,140.00,140.00
5,60000,116.00,agent_4,140.00,140.00,116.00,140.00,116.00,140.00,140.00,116.00,140.00,140.00
5,80000,116.00,agent_4,140.00,140.00,116.00,140.00,116.00,116.00,140.00,116.00,140.00,140.00
5,100000,116.00,agent_4,140.00,140.00,116.00,116.00,116.00,116.00,140.00,116.00,140.00,140.00
5,120000,116.00,agent_4,116.00,140.00,116.00,116.00,116.00,116.00,140.00,116.00,140.00,140.00
5,140000,116.00,agent_4,116.00,140.00,116.00,116.00,116.00,116.00,140.00,116.00,116.00,140.00
5,160000,116.00,agent_4,116.00,116.00,116.00,116.00,116.00,116.00,140.00,116.00,116.00,140.00
5,180000,116.00,agent_4,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,140.00
5,200000,116.00,agent_4,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
