run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
7,20000,128.00,agent_0,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
7,40000,128.00,agent_0,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
7,60000,128.00,agent_0,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
7,80000,128.00,agent_0,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
7,100000,128.00,agent_0,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
7,120000,128.00,agent_0,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
7,140000,128.00,agent_0,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
7,160000,128.00,agent_0,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
7,180000,128.00,agent_0,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
7,200000,128.00,agent_0,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
